Occ, P_min, P_mid, P_max, R_min, R_mid, R_max 
0.0011,23.8544771076,28.7434570957,34.6344345378,4.88698279789,5.22644098258,5.58947851344
0.00083,23.8544771076,28.7434570957,34.6344345378,5.58947851344,5.9777332522,6.39295682925
0.00067,23.8544771076,28.7434570957,34.6344345378,6.39295682925,6.83702254623,7.31193382753
0.00071,23.8544771076,28.7434570957,34.6344345378,7.31193382753,7.81983325879,8.36301225335
0.00062,23.8544771076,28.7434570957,34.6344345378,8.36301225335,8.94392139001,9.565181469
0.00023,23.8544771076,28.7434570957,34.6344345378,9.565181469,10.2295953358,10.9401605263
0.00016,23.8544771076,28.7434570957,34.6344345378,10.9401605263,11.7000827904,12.5127905549
0.00044,23.8544771076,28.7434570957,34.6344345378,12.5127905549,13.3819503909,14.3114835558
0.03325,34.6344345378,41.7327690179,50.2859086092,0.498221699096,0.53282903056,0.569840246466
0.02833,34.6344345378,41.7327690179,50.2859086092,0.569840246466,0.60942232474,0.651753841878
0.02647,34.6344345378,41.7327690179,50.2859086092,0.651753841878,0.697025778608,0.745442381504
0.02496,34.6344345378,41.7327690179,50.2859086092,0.745442381504,0.797222084457,0.852598494151
0.02144,34.6344345378,41.7327690179,50.2859086092,0.852598494151,0.911821443987,0.975158121225
0.01943,34.6344345378,41.7327690179,50.2859086092,0.975158121225,1.0428942724,1.11533549251
0.01768,34.6344345378,41.7327690179,50.2859086092,1.11533549251,1.19280860369,1.27566312969
0.01454,34.6344345378,41.7327690179,50.2859086092,1.27566312969,1.36427287279,1.45903760022
0.01365,34.6344345378,41.7327690179,50.2859086092,1.45903760022,1.56038484773,1.6687718484
0.01245,34.6344345378,41.7327690179,50.2859086092,1.6687718484,1.78468759555,1.90865504878
0.01131,34.6344345378,41.7327690179,50.2859086092,1.90865504878,2.04123349336,2.18302106349
0.00986,34.6344345378,41.7327690179,50.2859086092,2.18302106349,2.33465744078,2.49682674022
0.0085,34.6344345378,41.7327690179,50.2859086092,2.49682674022,2.6702605966,2.85574146532
0.00804,34.6344345378,41.7327690179,50.2859086092,2.85574146532,3.05410615246,3.26624959008
0.00376,34.6344345378,41.7327690179,50.2859086092,3.26624959008,3.49312887377,3.7357675806
0.00178,34.6344345378,41.7327690179,50.2859086092,3.7357675806,3.99526038705,4.27277800772
0.00107,34.6344345378,41.7327690179,50.2859086092,4.27277800772,4.56957247704,4.88698279789
0.00132,34.6344345378,41.7327690179,50.2859086092,4.88698279789,5.22644098258,5.58947851344
0.00115,34.6344345378,41.7327690179,50.2859086092,5.58947851344,5.9777332522,6.39295682925
0.00082,34.6344345378,41.7327690179,50.2859086092,6.39295682925,6.83702254623,7.31193382753
0.00067,34.6344345378,41.7327690179,50.2859086092,7.31193382753,7.81983325879,8.36301225335
