# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek (JPL/Caltech, University of Rochester) 
# Version 2017.09.06
#
# Much of the content (but not all) of this table was incorporated
# into Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208....9P), so that
# reference should be cited. Parts of this table for A/F/G stars also
# appeared in Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756,
# 154).  For example, Table 5 of Pecaut & Mamajek did not include the
# absolute magnitude and luminosity estimates, nor the properties of
# the LTY dwarfs. 
#
# The author's notes on standard stars and mean parameters for
# stars for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, 
# Tycho BtVt, Cousins RcIc, 2MASS JHKs, and WISE W1/W2/W3/W4 photometry.
#
SpT   Teff  logT  BCv     Mv    logL  B-V    Bt-Vt  U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1   W1-W2  W1-W3  W1-W4  Msun  logAge b-y    #SpT    M_J    M_Ks   Mbol i-z  z-Y  
M7V    2650  3.423 -5.06  17.81 -3.21  2.06   ...    ...     2.180  4.520   8.05    0.613   0.386   ...     0.24   ...    ...    0.09  ...    ...    M7V    10.76   9.76  12.75 1.77 0.70 
M7.5V  2600  3.415 -5.46  18.42 -3.29  2.17   ...    ...     2.160  4.560   8.45    0.650   0.422   ...     0.25   ...    ...    0.08  ...    ...    M7.5V  10.68   9.97  12.97 1.85 0.74 
M8V    2500  3.398 -5.70  18.84 -3.36  2.20   ...    ...     2.150  4.600   8.73    0.670   0.450   ...     0.26   ...    ...    0.077 ...    ...    M8V    11.23  10.11  13.14 1.93 0.77 
M8.5V  2440  3.387 -5.80  19.14 -3.44  ...    ...    ...     1.967  4.781   8.92    0.685   0.470   ...     0.265  ...    ...    0.071 ...    ...    M8.5V  11.45  10.22  13.34 1.96 0.80 
M9V    2400  3.380 -5.90  19.36 -3.57  ...    ...    ...     1.890  4.660   9.00    0.749   0.480   ...     0.27   ...    ...    0.065 ...    ...    M9V    11.53  10.30  13.67 1.99 0.82 
M9.5V  2320  3.365 -6.13  19.75 -3.55  ...    ...    ...     2.510  4.5     9.30    0.826   0.505   ...     0.27   ...    ...    ...   ...    ...    M9.5V  11.78  10.45  13.62 2.00 0.84
L0V    2250  3.352 ...    20.0  -3.57  ...    ...    ...     ...    4.6     9.45    0.79    0.50    ...     0.27   ...    ...    ...   ...    ...    L0V    11.84  10.55  13.67 2.01 0.86 
L1V    2100  3.322 ...    20.5  -3.70  ...    ...    ...     ...    4.8     9.70    0.80    0.54    ...     0.28   ...    ...    ...   ...    ...    L1V    12.14  10.80  13.99 2.02 0.88 
L2V    1960  3.292 ...    20.9  -3.84  ...    ...    ...     ...    4.9     10.0    0.87    0.57    ...     0.28   ...    ...    ...   ...    ...    L2V    12.34  10.90  14.34 2.04 0.90 
L3V    1830  3.262 ...    21.7  -3.98  ...    ...    ...     ...    5.0     10.4    1.00    0.63    ...     0.29   ...    ...    ...   ...    ...    L3V    12.93  11.30  14.96 2.10 0.92 
L4V    1700  3.230 ...    22.3  -4.11  ...    ...    ...     ...    5.5     10.9    1.14    0.63    ...     0.30   ...    ...    ...   ...    ...    L4V    13.17  11.40  15.02 2.20 0.94 
L5V    1590  3.201 ...    23.1  -4.24  ...    ...    ...     ...    6.0     11.4    1.13    0.65    ...     0.32   ...    ...    ...   ...    ...    L5V    13.60  11.82  15.34 2.33 0.97 
L6V    1490  3.173 ...    ...   -4.36  ...    ...    ...     ...    ...     ...     1.08    0.64    ...     0.36   ...    ...    ...   ...    ...    L6V    13.99  12.27  15.64 2.51 1.00 
L7V    1410  3.149 ...    ...   -4.46  ...    ...    ...     ...    ...     ...     1.10    0.62    ...     0.41   ...    ...    ...   ...    ...    L7V    14.34  12.62  15.89 2.71 1.04 
L8V    1350  3.130 ...    ...   -4.55  ...    ...    ...     ...    ...     ...     1.14    0.63    ...     0.48   ...    ...    ...   ...    ...    L8V    14.47  12.70  16.12 2.93 1.09 
L9V    1300  3.114 ...    ...   -4.61  ...    ...    ...     ...    ...     ...     1.10    0.63    ...     0.57   ...    ...    ...   ...    ...    L9V    14.47  12.74  16.27 3.15 1.16 
T0V    1260  3.100 ...    ...   -4.66  ...    ...    ...     ...    ...     ...     1.02    0.54    ...     0.68   ...    ...    ...   ...    ...    T0V    14.46  12.90  16.39 3.36 1.23 
T1V    1230  3.090 ...    ...   -4.69  ...    ...    ...     ...    ...     ...     1.02    0.45    ...     0.82   ...    ...    ...   ...    ...    T1V    14.34  12.87  16.47 3.55 1.33 
T2V    1200  3.079 ...    ...   -4.73  ...    ...    ...     ...    ...     ...     0.86    0.27    ...     0.99   ...    ...    ...   ...    ...    T2V    14.32  13.19  16.57 3.70 1.43 
T3V    1160  3.064 ...    ...   -4.77  ...    ...    ...     ...    ...     ...     0.68    0.08    ...     1.19   ...    ...    ...   ...    ...    T3V    14.45  13.69  16.67 3.82 1.55 
T4V    1120  3.049 ...    ...   -4.84  ...    ...    ...     ...    ...     ...     0.35   -0.19    ...     1.43   ...    ...    ...   ...    ...    T4V    14.67  14.51  16.84 3.90 1.68 
T4.5V  1090  3.037 ...    ...   -4.90  ...    ...    ...     ...    ...     ...     0.2    -0.06    ...     1.57   ...    ...    ...   ...    ...    T4.5V  14.80  14.66  16.99 3.93 1.75 
T5V    1050  3.021 ...    ...   -4.95  ...    ...    ...     ...    ...     ...     0.2    -0.08    ...     1.70   ...    ...    ...   ...    ...    T5V    15.02  14.90  17.12 3.95 1.81 
T5.5V  1010  3.004 ...    ...   -5.04  ...    ...    ...     ...    ...     ...     0.2    -0.10    ...     1.86   ...    ...    ...   ...    ...    T5.5V  15.28  15.18  17.34 3.97 1.89 
T6V    960   2.982 ...    ...   -5.12  ...    ...    ...     ...    ...     ...     0.1    -0.03    ...     2.02   ...    ...    ...   ...    ...    T6V    15.61  15.54  17.54 3.98 1.96 
T7V    840   2.924 ...    ...   -5.37  ...    ...    ...     ...    ...     ...     0.0     0.00    ...     2.38   ...    ...    ...   ...    ...    T7V    15.77  16.36  18.17 4.01 2.11 
T7.5V  770   2.886 ...    ...   -5.54  ...    ...    ...     ...    ...     ...     0.2    -0.05    ...     2.59   ...    ...    ...   ...    ...    T7.5V  16.51  16.85  18.59 4.05 2.19 
T8V    700   2.845 ...    ...   -5.71  ...    ...    ...     ...    ...     ...     0.2    -0.05    ...     2.79   ...    ...    ...   ...    ...    T8V    17.24  17.43  19.02 4.08 2.26 
T8.5V  610   2.785 ...    ...   -5.93  ...    ...    ...     ...    ...     ...     0.2     ...     ...     ...    ...    ...    ...   ...    ...    T8.5V  18.45  ...    19.57 ...  ...  
T9V    530   2.724 ...    ...   -6.15  ...    ...    ...     ...    ...     ...     0.1    -0.20    ...     ...    ...    ...    ...   ...    ...    T9V    19.67  18.48  20.12 ...  ...  
T9.5V  475   2.677 ...    ...    ...   ...    ...    ...     ...    ...     ...     ...     ...     ...     ...    ...    ...    ...   ...    ...    T9.5V  19.52: 19.32  ...   ...  ...  
Y0V    420   2.623 ...    ...   -6.52  ...    ...    ...     ...    ...     ...     ...    -0.5     ...     2.4    ...    ...    ...   ...    ...    Y0V    21     ...    ...   ...  ...  
